,group,day_number,source_file,reference_file,news_srouce,news_event,news_event_date,news_numer_in_day
597,22,14,C:/Users/Yuhsuan/Desktop/MEMDS\Theguardian\crimea\20140228 000001.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day14_Theguardian_crimea_167.txt,Theguardian,crimea,20140228,167
598,22,14,C:/Users/Yuhsuan/Desktop/MEMDS\Theguardian\crimea\20140228 000000.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day14_Theguardian_crimea_166.txt,Theguardian,crimea,20140228,166
599,22,14,C:/Users/Yuhsuan/Desktop/MEMDS\NewYorkTimes\turkish\20160729 000000.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day14_NewYorkTimes_turkish_12.txt,NewYorkTimes,turkish,20160729,12
600,22,14,C:/Users/Yuhsuan/Desktop/MEMDS\NewYorkTimes\crimea\20140228 000001.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day14_NewYorkTimes_crimea_120.txt,NewYorkTimes,crimea,20140228,120
601,22,14,C:/Users/Yuhsuan/Desktop/MEMDS\NewYorkTimes\crimea\20140228 000000.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day14_NewYorkTimes_crimea_119.txt,NewYorkTimes,crimea,20140228,119
602,22,14,C:/Users/Yuhsuan/Desktop/MEMDS\NewYorkTimes\brexit\20160616 000000.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day14_NewYorkTimes_brexit_49.txt,NewYorkTimes,brexit,20160616,49
603,22,14,C:/Users/Yuhsuan/Desktop/MEMDS\CNN\crimea\20140228 171100.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day14_CNN_crimea_9.txt,CNN,crimea,20140228,9
604,22,14,C:/Users/Yuhsuan/Desktop/MEMDS\CNN\crimea\20140228 120400.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day14_CNN_crimea_8.txt,CNN,crimea,20140228,8
605,22,14,C:/Users/Yuhsuan/Desktop/MEMDS\CNN\crimea\20140228 024500.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day14_CNN_crimea_7.txt,CNN,crimea,20140228,7
606,22,14,C:/Users/Yuhsuan/Desktop/MEMDS\CNN\crimea\20140228 230000.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day14_CNN_crimea_12.txt,CNN,crimea,20140228,12
607,22,14,C:/Users/Yuhsuan/Desktop/MEMDS\CNN\crimea\20140228 223500.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day14_CNN_crimea_11.txt,CNN,crimea,20140228,11
608,22,14,C:/Users/Yuhsuan/Desktop/MEMDS\CNN\crimea\20140228 215200.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day14_CNN_crimea_10.txt,CNN,crimea,20140228,10
609,22,14,C:/Users/Yuhsuan/Desktop/MEMDS\CNN\brexit\20160616 000000.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day14_CNN_brexit_2.txt,CNN,brexit,20160616,2
610,22,14,C:/Users/Yuhsuan/Desktop/MEMDS\CNN\hk\20140928 035400.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day14_CNN_hk_1.txt,CNN,hk,20140928,1
611,22,14,C:/Users/Yuhsuan/Desktop/MEMDS\CNN\turkish\20160729 000000.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day14_CNN_turkish_5.txt,CNN,turkish,20160729,5
612,22,15,C:/Users/Yuhsuan/Desktop/MEMDS\Theguardian\turkish\20160730 000001.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day15_Theguardian_turkish_29.txt,Theguardian,turkish,20160730,29
613,22,16,C:/Users/Yuhsuan/Desktop/MEMDS\Theguardian\turkish\20160731 000000.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day16_Theguardian_turkish_30.txt,Theguardian,turkish,20160731,30
