ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1+StopWordRemoval,TASK734,GROUP7TH41.TEXT,0.05568,0.1206,0.07619,1
ROUGE-1+StopWordRemoval,TASK731,GROUP7TH38.TEXT,0.08817,0.19487,0.12141,1
ROUGE-1+StopWordRemoval,TASK732,GROUP7TH39.TEXT,0.09049,0.14885,0.11255,1
ROUGE-1+StopWordRemoval,TASK1735,GROUP17TH52.TEXT,0.16923,0.09322,0.12022,1
ROUGE-1+StopWordRemoval,TASK730,GROUP7TH37.TEXT,0.11137,0.27746,0.15894,1
ROUGE-1+StopWordRemoval,TASK1734,GROUP17TH51.TEXT,0.27692,0.2236,0.24742,1
ROUGE-1+StopWordRemoval,TASK1737,GROUP17TH54.TEXT,0.13077,0.13281,0.13178,1
ROUGE-1+StopWordRemoval,TASK1736,GROUP17TH53.TEXT,0.15385,0.10417,0.12422,1
ROUGE-1+StopWordRemoval,TASK1731,GROUP17TH48.TEXT,0.16154,0.12883,0.14334,1
ROUGE-1+StopWordRemoval,TASK1730,GROUP17TH47.TEXT,0.23077,0.1875,0.2069,1
ROUGE-1+StopWordRemoval,TASK1733,GROUP17TH50.TEXT,0.23846,0.13362,0.17127,1
ROUGE-1+StopWordRemoval,TASK1732,GROUP17TH49.TEXT,0.32308,0.17355,0.22581,1
ROUGE-1+StopWordRemoval,TASK308,GROUP3TH11.TEXT,0.10853,0.13861,0.12174,2
ROUGE-1+StopWordRemoval,TASK309,GROUP3TH12.TEXT,0.14729,0.17757,0.16102,2
ROUGE-1+StopWordRemoval,TASK306,GROUP3TH9.TEXT,0.14341,0.19271,0.16444,2
ROUGE-1+StopWordRemoval,TASK307,GROUP3TH10.TEXT,0.10465,0.19149,0.13534,2
ROUGE-1+StopWordRemoval,TASK304,GROUP3TH7.TEXT,0.07752,0.1105,0.09112,2
ROUGE-1+StopWordRemoval,TASK788,GROUP7TH95.TEXT,0.19026,0.19524,0.19271,1
ROUGE-1+StopWordRemoval,TASK789,GROUP7TH96.TEXT,0.19026,0.19524,0.19271,1
ROUGE-1+StopWordRemoval,TASK305,GROUP3TH8.TEXT,0.24419,0.28251,0.26195,2
ROUGE-1+StopWordRemoval,TASK786,GROUP7TH93.TEXT,0.19026,0.19524,0.19271,1
ROUGE-1+StopWordRemoval,TASK302,GROUP3TH5.TEXT,0.10078,0.14773,0.11982,2
ROUGE-1+StopWordRemoval,TASK787,GROUP7TH94.TEXT,0.19026,0.19524,0.19271,1
ROUGE-1+StopWordRemoval,TASK303,GROUP3TH6.TEXT,0.07752,0.1105,0.09112,2
ROUGE-1+StopWordRemoval,TASK784,GROUP7TH91.TEXT,0.19026,0.19524,0.19271,1
ROUGE-1+StopWordRemoval,TASK1327,GROUP13TH40.TEXT,0.10674,0.17195,0.13172,1
ROUGE-1+StopWordRemoval,TASK300,GROUP3TH3.TEXT,0.10465,0.21429,0.14063,2
ROUGE-1+StopWordRemoval,TASK1328,GROUP13TH41.TEXT,0.13483,0.20779,0.16354,1
ROUGE-1+StopWordRemoval,TASK785,GROUP7TH92.TEXT,0.19026,0.19524,0.19271,1
ROUGE-1+StopWordRemoval,TASK301,GROUP3TH4.TEXT,0.10853,0.22047,0.14545,2
ROUGE-1+StopWordRemoval,TASK782,GROUP7TH89.TEXT,0.17401,0.19133,0.18226,1
ROUGE-1+StopWordRemoval,TASK1329,GROUP13TH42.TEXT,0.16011,0.28079,0.20394,1
ROUGE-1+StopWordRemoval,TASK783,GROUP7TH90.TEXT,0.17401,0.19133,0.18226,1
ROUGE-1+StopWordRemoval,TASK1323,GROUP13TH36.TEXT,0.1264,0.19397,0.15306,1
ROUGE-1+StopWordRemoval,TASK780,GROUP7TH87.TEXT,0.17401,0.19133,0.18226,1
ROUGE-1+StopWordRemoval,TASK781,GROUP7TH88.TEXT,0.17401,0.19133,0.18226,1
ROUGE-1+StopWordRemoval,TASK1324,GROUP13TH37.TEXT,0.0927,0.18539,0.1236,1
ROUGE-1+StopWordRemoval,TASK1325,GROUP13TH38.TEXT,0.08146,0.15508,0.10681,1
ROUGE-1+StopWordRemoval,TASK1326,GROUP13TH39.TEXT,0.08146,0.14646,0.10469,1
ROUGE-1+StopWordRemoval,TASK1320,GROUP13TH33.TEXT,0.11798,0.18421,0.14384,1
ROUGE-1+StopWordRemoval,TASK1321,GROUP13TH34.TEXT,0.08708,0.18129,0.11765,1
ROUGE-1+StopWordRemoval,TASK1322,GROUP13TH35.TEXT,0.1264,0.2093,0.15762,1
ROUGE-1+StopWordRemoval,TASK319,GROUP3TH22.TEXT,0.14341,0.14453,0.14397,2
ROUGE-1+StopWordRemoval,TASK317,GROUP3TH20.TEXT,0.10853,0.11336,0.11089,2
ROUGE-1+StopWordRemoval,TASK318,GROUP3TH21.TEXT,0.15891,0.16206,0.16047,2
ROUGE-1+StopWordRemoval,TASK799,GROUP8TH7.TEXT,0.04419,0.09406,0.06013,1
ROUGE-1+StopWordRemoval,TASK315,GROUP3TH18.TEXT,0.0969,0.15723,0.1199,2
ROUGE-1+StopWordRemoval,TASK316,GROUP3TH19.TEXT,0.14341,0.22699,0.17577,2
ROUGE-1+StopWordRemoval,TASK797,GROUP8TH5.TEXT,0.03953,0.11486,0.05882,1
ROUGE-1+StopWordRemoval,TASK313,GROUP3TH16.TEXT,0.13566,0.23026,0.17073,2
ROUGE-1+StopWordRemoval,TASK798,GROUP8TH6.TEXT,0.04651,0.09756,0.06299,1
ROUGE-1+StopWordRemoval,TASK314,GROUP3TH17.TEXT,0.10078,0.15385,0.12178,2
ROUGE-1+StopWordRemoval,TASK1316,GROUP13TH29.TEXT,0.14045,0.22321,0.17241,1
ROUGE-1+StopWordRemoval,TASK795,GROUP8TH3.TEXT,0.04419,0.1027,0.06179,1
ROUGE-1+StopWordRemoval,TASK311,GROUP3TH14.TEXT,0.10853,0.16374,0.13054,2
ROUGE-1+StopWordRemoval,TASK1317,GROUP13TH30.TEXT,0.10674,0.18269,0.13475,1
ROUGE-1+StopWordRemoval,TASK312,GROUP3TH15.TEXT,0.18605,0.25263,0.21429,2
ROUGE-1+StopWordRemoval,TASK796,GROUP8TH4.TEXT,0.03488,0.09554,0.05111,1
ROUGE-1+StopWordRemoval,TASK1318,GROUP13TH31.TEXT,0.11236,0.17857,0.13793,1
ROUGE-1+StopWordRemoval,TASK793,GROUP8TH1.TEXT,0.06047,0.1215,0.08075,1
ROUGE-1+StopWordRemoval,TASK1319,GROUP13TH32.TEXT,0.14326,0.28652,0.19101,1
ROUGE-1+StopWordRemoval,TASK794,GROUP8TH2.TEXT,0.05814,0.1269,0.07974,1
ROUGE-1+StopWordRemoval,TASK310,GROUP3TH13.TEXT,0.16667,0.20188,0.18259,2
ROUGE-1+StopWordRemoval,TASK791,GROUP7TH98.TEXT,0.19026,0.19524,0.19271,1
ROUGE-1+StopWordRemoval,TASK1312,GROUP13TH25.TEXT,0.11236,0.14085,0.125,1
ROUGE-1+StopWordRemoval,TASK1797,GROUP18TH15.TEXT,0.12632,0.15385,0.13873,1
ROUGE-1+StopWordRemoval,TASK1313,GROUP13TH26.TEXT,0.21067,0.20325,0.2069,1
ROUGE-1+StopWordRemoval,TASK792,GROUP7TH99.TEXT,0.19026,0.19524,0.19271,1
ROUGE-1+StopWordRemoval,TASK1796,GROUP18TH14.TEXT,0.35088,0.1224,0.18149,1
ROUGE-1+StopWordRemoval,TASK1799,GROUP18TH17.TEXT,0.07368,0.13208,0.09459,1
ROUGE-1+StopWordRemoval,TASK1314,GROUP13TH27.TEXT,0.1236,0.16357,0.1408,1
ROUGE-1+StopWordRemoval,TASK1798,GROUP18TH16.TEXT,0.08772,0.12376,0.10267,1
ROUGE-1+StopWordRemoval,TASK1315,GROUP13TH28.TEXT,0.14045,0.19084,0.16181,1
ROUGE-1+StopWordRemoval,TASK790,GROUP7TH97.TEXT,0.19026,0.19524,0.19271,1
ROUGE-1+StopWordRemoval,TASK1793,GROUP18TH11.TEXT,0.13333,0.17757,0.1523,1
ROUGE-1+StopWordRemoval,TASK1792,GROUP18TH10.TEXT,0.13333,0.18627,0.15542,1
ROUGE-1+StopWordRemoval,TASK1795,GROUP18TH13.TEXT,0.05614,0.09143,0.06957,1
ROUGE-1+StopWordRemoval,TASK1310,GROUP13TH23.TEXT,0.11517,0.21354,0.14964,1
ROUGE-1+StopWordRemoval,TASK1794,GROUP18TH12.TEXT,0.15789,0.20179,0.17717,1
ROUGE-1+StopWordRemoval,TASK1311,GROUP13TH24.TEXT,0.14607,0.26667,0.18875,1
ROUGE-1+StopWordRemoval,TASK1791,GROUP18TH9.TEXT,0.15088,0.16475,0.15751,1
ROUGE-1+StopWordRemoval,TASK1790,GROUP18TH8.TEXT,0.09825,0.1407,0.1157,1
ROUGE-1+StopWordRemoval,TASK768,GROUP7TH75.TEXT,0.16241,0.19022,0.17522,1
ROUGE-1+StopWordRemoval,TASK769,GROUP7TH76.TEXT,0.16241,0.19022,0.17522,1
ROUGE-1+StopWordRemoval,TASK766,GROUP7TH73.TEXT,0.19258,0.19302,0.1928,1
ROUGE-1+StopWordRemoval,TASK1309,GROUP13TH22.TEXT,0.10393,0.20442,0.1378,1
ROUGE-1+StopWordRemoval,TASK767,GROUP7TH74.TEXT,0.16241,0.19022,0.17522,1
ROUGE-1+StopWordRemoval,TASK764,GROUP7TH71.TEXT,0.12761,0.2381,0.16616,1
ROUGE-1+StopWordRemoval,TASK765,GROUP7TH72.TEXT,0.14849,0.17391,0.1602,1
ROUGE-1+StopWordRemoval,TASK762,GROUP7TH69.TEXT,0.14617,0.2093,0.17213,1
ROUGE-1+StopWordRemoval,TASK1305,GROUP13TH18.TEXT,0.1264,0.22167,0.161,1
ROUGE-1+StopWordRemoval,TASK763,GROUP7TH70.TEXT,0.14617,0.18862,0.16471,1
ROUGE-1+StopWordRemoval,TASK1789,GROUP18TH7.TEXT,0.13684,0.23926,0.17411,1
ROUGE-1+StopWordRemoval,TASK1306,GROUP13TH19.TEXT,0.0927,0.19643,0.12595,1
ROUGE-1+StopWordRemoval,TASK760,GROUP7TH67.TEXT,0.11833,0.2287,0.15596,1
ROUGE-1+StopWordRemoval,TASK1307,GROUP13TH20.TEXT,0.0927,0.17098,0.12022,1
ROUGE-1+StopWordRemoval,TASK1308,GROUP13TH21.TEXT,0.11236,0.181,0.13865,1
ROUGE-1+StopWordRemoval,TASK761,GROUP7TH68.TEXT,0.11369,0.21973,0.14985,1
ROUGE-1+StopWordRemoval,TASK1301,GROUP13TH14.TEXT,0.15169,0.18243,0.16564,1
