,GROUP1,GROUP2,GROUP3,GROUP4,GROUP5,GROUP6,GROUP7,GROUP8,GROUP9,GROUP10,GROUP11,GROUP12,GROUP13,GROUP14,GROUP15,GROUP16,GROUP17,GROUP18,GROUP19
0.78,0.00641,0.03158,,0.00641,,,,0.00429,0,0.00429,0.00826,,0.03205,0.01717,0.00429,,0,0.01031,0
0.79,0.00641,0.03158,,0.00641,,,,0.00429,0,0.00429,0.00826,,0.02564,0.01717,0.00429,,0,0.01031,0
0.8,0.00641,0,,0.00641,,,,0.00429,0,0.00429,0.00826,,0.02564,0.01717,0.00429,,0,0.01031,0
0.81,0.00641,0,,0.00641,,,,0.00429,0,0.00429,0.00826,,0.02564,0.01717,0.00429,,0,0.01031,0
0.82,0.00641,0,,0.00641,,,,0.00429,0,0.00429,0.00826,,0.02564,0.01717,0.00429,,0,0.01031,0
0.83,0.00641,0,,0.00641,,,,0.00429,0,0.00429,0.00826,,0.02564,0.01717,0.00429,,0,0.01031,0
0.84,0.00641,0,,0.00641,,,,0.00429,0,0.00429,0.00826,,0.02564,0.01717,0.00429,,0,0.01031,0
0.85,0.00641,0,,0.00641,,,,0.00429,0,0.00429,0.00826,,0.02564,0.01717,0.00429,,0,0.01031,0
0.86,0.00641,0,,0.00641,,,,0.00429,0,0.00429,0.00826,,0.02564,0.01717,0.00429,,0,0.01031,0
0.87,0.00641,0,,0.00641,,,,0.00429,0,0.00429,0.00826,,0.02564,0.03433,0.00429,,0,0.01031,0
0.88,0.00641,0,,0.00641,,,,0.00429,0,0.00429,0.00826,,0.02564,0.01288,0.00429,,0,0.01031,0
0.89,0.00641,0,,0.00641,,,,0.00429,0,0.00429,0.00826,,0,0.01288,0.00429,,0,0.01031,0
0.9,0.00641,0,,0.00641,,,,0.00429,0,0.00429,0.00826,,0,0.01288,0.00429,,0,0.01031,0
0.91,0.00641,0,,0.00641,,,,0.00429,0,0.00429,0.00826,,0,0.01288,0.00429,,0,0.01031,0
0.92,0.00641,0,,0.00641,,,,0.00429,0,0.00429,0.00826,,0,0.01288,0.00429,,0,0.01031,0
0.93,0.00641,0,,0.00641,,,,0.00429,0,0.00429,0.00826,,0,0.01288,0.00429,,0,0.01031,0
0.94,0.00641,0,,0.00641,,,,0.00429,0,0.00429,0.00826,,0,0.01288,0.00429,,0,0.01031,0
0.95,0.00641,0,,0.00641,,,,0.00429,0,0.00429,0.00826,,0,0.01288,0.00429,,0,0.01031,0
0.96,0.00641,0,,0.00641,,,,0.00429,0,0.00429,0.00826,,0,0.01288,0.00429,,0,0.01031,0
0.97,0.00641,0,,0.00641,,,,0.00429,0,0.00429,0.00826,,0,0.01288,0.00429,,0,0.01031,0
0.98,0.00641,0,,0.00641,,,,0.00429,0,0.00429,0.00826,,0,0.01288,0.00429,,0,0.01031,0
0.99,0.00641,0,,0.00641,,,,0.00429,0,0.00429,0.00826,,0,0.01288,0.00429,,0,0.01031,0
